method,model_size,num_params,seed,accumulation,retained,data_label,label_class,loss,compute_ratio,source
filtering,5B,4967743104,seed_1,het,core+papers-biology,code-lisp,elicited_forget,0.908821702003479,0.12819400079891882,scaling/realistic/filtering/5B/seed_1/run_1/stats.jsonl
filtering,5B,4967743104,seed_1,het,core+papers-biology,code-lisp,forget,1.164163589477539,0.0391503207205157,scaling/realistic/filtering/5B/seed_1/run_1/stats.jsonl
filtering,5B,4967743104,seed_1,het,core+papers-biology,core,core,1.5915231704711914,0.9772585101528034,scaling/realistic/filtering/5B/seed_1/run_1/stats.jsonl
filtering,5B,4967743104,seed_1,het,core+papers-biology,papers-biology,retain,2.010005474090576,1.0062608457970434,scaling/realistic/filtering/5B/seed_1/run_1/stats.jsonl
filtering,5B,4967743104,seed_1,het,core+papers-biology,papers-cyber,elicited_forget,2.4396896362304688,0.549117329093691,scaling/realistic/filtering/5B/seed_1/run_1/stats.jsonl
filtering,5B,4967743104,seed_1,het,core+papers-biology,papers-cyber,forget,2.379075050354004,0.7071027687251306,scaling/realistic/filtering/5B/seed_1/run_1/stats.jsonl
filtering,5B,4967743104,seed_1,het,core+papers-biology,papers-nuclear,elicited_forget,2.560056209564209,0.4306562193654392,scaling/realistic/filtering/5B/seed_1/run_1/stats.jsonl
filtering,5B,4967743104,seed_1,het,core+papers-biology,papers-nuclear,forget,2.516171455383301,0.5120009361401463,scaling/realistic/filtering/5B/seed_1/run_1/stats.jsonl
filtering,5B,4967743104,seed_1,uni,core+papers-biology,code-lisp,elicited_forget,0.910793125629425,0.12675547431406187,scaling/realistic/filtering/5B/seed_1/20260421232952917730/stats.jsonl
filtering,5B,4967743104,seed_1,uni,core+papers-biology,code-lisp,forget,1.1650763750076294,0.039021360513870576,scaling/realistic/filtering/5B/seed_1/20260421232952917730/stats.jsonl
filtering,5B,4967743104,seed_1,uni,core+papers-biology,core,core,1.592354416847229,0.9726859719268862,scaling/realistic/filtering/5B/seed_1/20260421232952917730/stats.jsonl
filtering,5B,4967743104,seed_1,uni,core+papers-biology,papers-biology,retain,2.029149293899536,0.9261647183456347,scaling/realistic/filtering/5B/seed_1/20260421232952917730/stats.jsonl
filtering,5B,4967743104,seed_1,uni,core+papers-biology,papers-cyber,elicited_forget,2.4333958625793457,0.5635296774380667,scaling/realistic/filtering/5B/seed_1/20260421232952917730/stats.jsonl
filtering,5B,4967743104,seed_1,uni,core+papers-biology,papers-cyber,forget,2.380632162094116,0.7024584748367143,scaling/realistic/filtering/5B/seed_1/20260421232952917730/stats.jsonl
filtering,5B,4967743104,seed_1,uni,core+papers-biology,papers-nuclear,elicited_forget,2.5559253692626953,0.4376586295674397,scaling/realistic/filtering/5B/seed_1/20260421232952917730/stats.jsonl
filtering,5B,4967743104,seed_1,uni,core+papers-biology,papers-nuclear,forget,2.5179288387298584,0.5084297824053361,scaling/realistic/filtering/5B/seed_1/20260421232952917730/stats.jsonl
grmoe,5B,4967743104,seed_1,het,core+papers-biology,code-lisp,elicited_forget,0.91730135679245,0.12215060895252261,scaling/realistic/grmoe/5B/seed_1/run_1/stats.jsonl
grmoe,5B,4967743104,seed_1,het,core+papers-biology,code-lisp,forget,1.1808584928512573,0.03689423191254725,scaling/realistic/grmoe/5B/seed_1/run_1/stats.jsonl
grmoe,5B,4967743104,seed_1,het,core+papers-biology,core,core,1.5952750444412231,0.9568093938013703,scaling/realistic/grmoe/5B/seed_1/run_1/stats.jsonl
grmoe,5B,4967743104,seed_1,het,core+papers-biology,papers-biology,retain,1.9196748733520508,1.506098658573078,scaling/realistic/grmoe/5B/seed_1/run_1/stats.jsonl
grmoe,5B,4967743104,seed_1,het,core+papers-biology,papers-cyber,elicited_forget,2.4362549781799316,0.5569306448569047,scaling/realistic/grmoe/5B/seed_1/run_1/stats.jsonl
grmoe,5B,4967743104,seed_1,het,core+papers-biology,papers-cyber,forget,2.379868507385254,0.7047319139573083,scaling/realistic/grmoe/5B/seed_1/run_1/stats.jsonl
grmoe,5B,4967743104,seed_1,het,core+papers-biology,papers-nuclear,elicited_forget,2.546445369720459,0.45421808227574517,scaling/realistic/grmoe/5B/seed_1/run_1/stats.jsonl
grmoe,5B,4967743104,seed_1,het,core+papers-biology,papers-nuclear,forget,2.5136122703552246,0.5172518080435539,scaling/realistic/grmoe/5B/seed_1/run_1/stats.jsonl
grmoe,5B,4967743104,seed_1,uni,core+papers-biology,code-lisp,elicited_forget,0.8731604218482971,0.15819638253768906,scaling/realistic/grmoe/5B/seed_1/20260422052110016996/stats.jsonl
grmoe,5B,4967743104,seed_1,uni,core+papers-biology,code-lisp,forget,1.2848801612854004,0.026677702283125767,scaling/realistic/grmoe/5B/seed_1/20260422052110016996/stats.jsonl
grmoe,5B,4967743104,seed_1,uni,core+papers-biology,core,core,1.5986261367797852,0.9389499170156661,scaling/realistic/grmoe/5B/seed_1/20260422052110016996/stats.jsonl
grmoe,5B,4967743104,seed_1,uni,core+papers-biology,papers-biology,retain,2.025455951690674,0.9410414880656017,scaling/realistic/grmoe/5B/seed_1/20260422052110016996/stats.jsonl
grmoe,5B,4967743104,seed_1,uni,core+papers-biology,papers-cyber,elicited_forget,2.401494026184082,0.6434074769701398,scaling/realistic/grmoe/5B/seed_1/20260422052110016996/stats.jsonl
grmoe,5B,4967743104,seed_1,uni,core+papers-biology,papers-cyber,forget,2.3684592247009277,0.7396931322464886,scaling/realistic/grmoe/5B/seed_1/20260422052110016996/stats.jsonl
grmoe,5B,4967743104,seed_1,uni,core+papers-biology,papers-nuclear,elicited_forget,2.5060646533966064,0.5330925476702436,scaling/realistic/grmoe/5B/seed_1/20260422052110016996/stats.jsonl
grmoe,5B,4967743104,seed_1,uni,core+papers-biology,papers-nuclear,forget,2.492593288421631,0.5627343442259616,scaling/realistic/grmoe/5B/seed_1/20260422052110016996/stats.jsonl
lora,5B,4967743104,seed_1,het,core+papers-biology,code-lisp,elicited_forget,0.9180307388305664,0.12164797429559272,scaling/realistic/lora/5B/seed_1/run_1/stats.jsonl
lora,5B,4967743104,seed_1,het,core+papers-biology,code-lisp,forget,1.1638996601104736,0.03918773465963471,scaling/realistic/lora/5B/seed_1/run_1/stats.jsonl
lora,5B,4967743104,seed_1,het,core+papers-biology,core,core,1.5980184078216553,0.942160818381171,scaling/realistic/lora/5B/seed_1/run_1/stats.jsonl
lora,5B,4967743104,seed_1,het,core+papers-biology,papers-biology,retain,2.0006954669952393,1.0480085218524968,scaling/realistic/lora/5B/seed_1/run_1/stats.jsonl
lora,5B,4967743104,seed_1,het,core+papers-biology,papers-cyber,elicited_forget,2.447885751724243,0.5309636197195583,scaling/realistic/lora/5B/seed_1/run_1/stats.jsonl
lora,5B,4967743104,seed_1,het,core+papers-biology,papers-cyber,forget,2.3863258361816406,0.6857636060713748,scaling/realistic/lora/5B/seed_1/run_1/stats.jsonl
lora,5B,4967743104,seed_1,het,core+papers-biology,papers-nuclear,elicited_forget,2.5630369186401367,0.4256817514703387,scaling/realistic/lora/5B/seed_1/run_1/stats.jsonl
lora,5B,4967743104,seed_1,het,core+papers-biology,papers-nuclear,forget,2.5199685096740723,0.504319960141341,scaling/realistic/lora/5B/seed_1/run_1/stats.jsonl
lora,5B,4967743104,seed_1,uni,core+papers-biology,code-lisp,elicited_forget,0.9207285642623901,0.11981172749852842,scaling/realistic/lora/5B/seed_1/20260422052119858787/stats.jsonl
lora,5B,4967743104,seed_1,uni,core+papers-biology,code-lisp,forget,1.163422703742981,0.039255490017019654,scaling/realistic/lora/5B/seed_1/20260422052119858787/stats.jsonl
lora,5B,4967743104,seed_1,uni,core+papers-biology,core,core,1.5979825258255005,0.9423507837328763,scaling/realistic/lora/5B/seed_1/20260422052119858787/stats.jsonl
lora,5B,4967743104,seed_1,uni,core+papers-biology,papers-biology,retain,2.0191097259521484,0.9672365234147795,scaling/realistic/lora/5B/seed_1/20260422052119858787/stats.jsonl
lora,5B,4967743104,seed_1,uni,core+papers-biology,papers-cyber,elicited_forget,2.4552712440490723,0.5151798517646083,scaling/realistic/lora/5B/seed_1/20260422052119858787/stats.jsonl
lora,5B,4967743104,seed_1,uni,core+papers-biology,papers-cyber,forget,2.3863909244537354,0.6855753314542655,scaling/realistic/lora/5B/seed_1/20260422052119858787/stats.jsonl
lora,5B,4967743104,seed_1,uni,core+papers-biology,papers-nuclear,elicited_forget,2.565930128097534,0.4209150870130065,scaling/realistic/lora/5B/seed_1/20260422052119858787/stats.jsonl
lora,5B,4967743104,seed_1,uni,core+papers-biology,papers-nuclear,forget,2.519118309020996,0.5060285228933423,scaling/realistic/lora/5B/seed_1/20260422052119858787/stats.jsonl
