method,label_class,compute_ratio,ci90,ci_low,ci_high,n_seeds
Filtering,core,0.961,0.0145,0.9465,0.9754,3
Filtering,retain,0.9621,0.0239,0.9382,0.9861,3
Filtering,forget,0.7802,0.0086,0.7716,0.7889,3
Filtering,elicited_forget,0.8702,0.0117,0.8585,0.8819,3
GRAM,core,0.9375,0.0294,0.9081,0.9668,3
GRAM,retain,0.9522,0.0298,0.9224,0.982,3
GRAM,forget,0.7662,0.017,0.7491,0.7832,3
GRAM,elicited_forget,0.8554,0.0242,0.8312,0.8796,3
FT-LoRA,core,0.8414,0.0229,0.8184,0.8643,3
FT-LoRA,retain,0.9281,0.0332,0.8949,0.9613,3
FT-LoRA,forget,0.6918,0.0211,0.6707,0.7129,3
FT-LoRA,elicited_forget,0.7743,0.0211,0.7532,0.7954,3
FT-Full,core,0.874,0.0128,0.8612,0.8867,3
FT-Full,retain,1.0292,0.0105,1.0188,1.0397,3
FT-Full,forget,0.7216,0.0066,0.715,0.7282,3
FT-Full,elicited_forget,0.8056,0.0109,0.7947,0.8165,3
Demix,core,0.2478,0.0295,0.2183,0.2773,3
Demix,retain,0.183,0.0846,0.0984,0.2676,3
Demix,forget,0.2572,0.0309,0.2263,0.2881,3
Demix,elicited_forget,0.3016,0.0398,0.2619,0.3414,3
MaxEnt,core,0.9609,0.0656,0.8953,1.0266,3
MaxEnt,retain,0.9341,0.0776,0.8565,1.0117,3
MaxEnt,forget,0.8403,0.0611,0.7792,0.9014,3
MaxEnt,elicited_forget,0.9828,0.0509,0.9319,1.0337,3
