method,retained,data_label,compute_ratio,ci90,ci_low,ci_high,n_seeds
Filtering,core,core,0.9458,0.0191,0.9267,0.9649,3
Filtering,core,a-deadline-or-time-limit,0.637,0.016,0.621,0.6529,3
Filtering,core,alien-encounters,0.6893,0.0137,0.6756,0.7031,3
Filtering,core,bygone-eras,0.8988,0.0145,0.8843,0.9133,3
Filtering,core,cultural-traditions,0.8438,0.0167,0.8271,0.8605,3
Filtering,a-deadline-or-time-limit+core,core,0.9519,0.0223,0.9296,0.9741,3
Filtering,a-deadline-or-time-limit+core,a-deadline-or-time-limit,0.9521,0.0238,0.9283,0.9759,3
Filtering,a-deadline-or-time-limit+core,alien-encounters,0.6898,0.0195,0.6703,0.7093,3
Filtering,a-deadline-or-time-limit+core,bygone-eras,0.9091,0.0222,0.8869,0.9313,3
Filtering,a-deadline-or-time-limit+core,cultural-traditions,0.8563,0.0156,0.8407,0.8719,3
Filtering,alien-encounters+core,core,0.969,0.017,0.952,0.986,3
Filtering,alien-encounters+core,a-deadline-or-time-limit,0.645,0.0108,0.6342,0.6558,3
Filtering,alien-encounters+core,alien-encounters,0.9889,0.0178,0.9711,1.0068,3
Filtering,alien-encounters+core,bygone-eras,0.9225,0.0131,0.9094,0.9355,3
Filtering,alien-encounters+core,cultural-traditions,0.8614,0.0129,0.8485,0.8743,3
Filtering,bygone-eras+core,core,0.9763,0.0301,0.9462,1.0064,3
Filtering,bygone-eras+core,a-deadline-or-time-limit,0.6571,0.0229,0.6343,0.68,3
Filtering,bygone-eras+core,alien-encounters,0.7047,0.0205,0.6842,0.7252,3
Filtering,bygone-eras+core,bygone-eras,0.9622,0.036,0.9262,0.9981,3
Filtering,bygone-eras+core,cultural-traditions,0.8855,0.0255,0.86,0.9109,3
Filtering,core+cultural-traditions,core,0.9618,0.0404,0.9215,1.0022,3
Filtering,core+cultural-traditions,a-deadline-or-time-limit,0.6555,0.0205,0.635,0.6761,3
Filtering,core+cultural-traditions,alien-encounters,0.6981,0.0223,0.6759,0.7204,3
Filtering,core+cultural-traditions,bygone-eras,0.9297,0.0398,0.8899,0.9695,3
Filtering,core+cultural-traditions,cultural-traditions,0.9453,0.0401,0.9051,0.9854,3
GRAM,core,core,0.9401,0.0296,0.9105,0.9696,3
GRAM,core,a-deadline-or-time-limit,0.6121,0.0271,0.5849,0.6392,3
GRAM,core,alien-encounters,0.6912,0.0159,0.6753,0.707,3
GRAM,core,bygone-eras,0.9028,0.0207,0.882,0.9235,3
GRAM,core,cultural-traditions,0.8511,0.0209,0.8302,0.8719,3
GRAM,a-deadline-or-time-limit+core,core,0.9352,0.0295,0.9057,0.9646,3
GRAM,a-deadline-or-time-limit+core,a-deadline-or-time-limit,0.9657,0.0201,0.9456,0.9857,3
GRAM,a-deadline-or-time-limit+core,alien-encounters,0.6887,0.0149,0.6739,0.7036,3
GRAM,a-deadline-or-time-limit+core,bygone-eras,0.9022,0.0208,0.8815,0.923,3
GRAM,a-deadline-or-time-limit+core,cultural-traditions,0.8564,0.0224,0.834,0.8787,3
GRAM,alien-encounters+core,core,0.9343,0.0297,0.9046,0.964,3
GRAM,alien-encounters+core,a-deadline-or-time-limit,0.6115,0.0247,0.5869,0.6362,3
GRAM,alien-encounters+core,alien-encounters,0.988,0.047,0.941,1.035,3
GRAM,alien-encounters+core,bygone-eras,0.8972,0.0213,0.8759,0.9186,3
GRAM,alien-encounters+core,cultural-traditions,0.8493,0.0186,0.8307,0.8679,3
GRAM,bygone-eras+core,core,0.9393,0.0298,0.9095,0.9691,3
GRAM,bygone-eras+core,a-deadline-or-time-limit,0.6172,0.0302,0.587,0.6473,3
GRAM,bygone-eras+core,alien-encounters,0.691,0.0179,0.673,0.7089,3
GRAM,bygone-eras+core,bygone-eras,0.9263,0.0218,0.9045,0.9481,3
GRAM,bygone-eras+core,cultural-traditions,0.8647,0.0203,0.8445,0.885,3
GRAM,core+cultural-traditions,core,0.9384,0.0284,0.91,0.9668,3
GRAM,core+cultural-traditions,a-deadline-or-time-limit,0.6197,0.0306,0.589,0.6503,3
GRAM,core+cultural-traditions,alien-encounters,0.6907,0.0124,0.6784,0.7031,3
GRAM,core+cultural-traditions,bygone-eras,0.9129,0.0286,0.8842,0.9415,3
GRAM,core+cultural-traditions,cultural-traditions,0.9289,0.0315,0.8974,0.9605,3
