model_size,seed,trial_num,lr,batch_size,status,IP
50,1,1,0.0004,32,done,93.119.168.27
50,1,2,0.0004,64,done,93.119.168.156
50,1,3,0.0004,128,done,93.119.168.114
50,1,4,0.0004,256,done,85.234.79.236
50,1,5,0.0008,32,done,85.234.79.161
50,1,6,0.0008,64,done,93.119.168.27
50,1,7,0.0008,128,done,85.234.79.83
50,1,8,0.0008,256,done,85.234.79.162
50,1,9,0.0016,32,done,85.234.79.173
50,1,10,0.0016,64,done,93.119.168.156
50,1,11,0.0016,128,done,93.119.168.114
50,1,12,0.0016,256,done,85.234.79.236
50,2,1,0.0004,32,done,85.234.79.208
50,2,2,0.0004,64,done,85.234.79.38
50,2,3,0.0004,128,done,93.119.168.44
50,2,4,0.0004,256,done,93.119.168.27
50,2,5,0.0008,32,done,85.234.79.161
50,2,6,0.0008,64,done,85.234.79.83
50,2,7,0.0008,128,done,93.119.168.169
50,2,8,0.0008,256,done,85.234.79.162
50,2,9,0.0016,32,done,93.119.168.114
50,2,10,0.0016,64,done,85.234.79.118
50,2,11,0.0016,128,done,93.119.168.156
50,2,12,0.0016,256,done,93.119.168.27
50,3,1,0.0004,32,done,85.234.79.236
50,3,2,0.0004,64,done,85.234.79.173
50,3,3,0.0004,128,done,85.234.79.38
50,3,4,0.0004,256,done,93.119.168.44
50,3,5,0.0008,32,done,85.234.79.208
50,3,6,0.0008,64,done,85.234.79.162
50,3,7,0.0008,128,done,85.234.79.83
50,3,8,0.0008,256,done,93.119.168.169
50,3,9,0.0016,32,done,85.234.79.161
50,3,10,0.0016,64,done,93.119.168.27
50,3,11,0.0016,128,done,85.234.79.118
50,3,12,0.0016,256,done,93.119.168.156
100,1,1,0.0004,32,done,85.234.79.118
100,1,2,0.0004,64,done,85.234.79.236
100,1,3,0.0004,128,done,93.119.168.114
100,1,4,0.0004,256,done,85.234.79.38
100,1,5,0.0008,32,done,93.119.168.27
100,1,6,0.0008,64,done,85.234.79.118
100,1,7,0.0008,128,done,85.234.79.236
100,1,8,0.0008,256,done,93.119.168.114
100,1,9,0.0016,32,done,85.234.79.38
100,1,10,0.0016,64,done,93.119.168.44
100,1,11,0.0016,128,done,93.119.168.169
100,1,12,0.0016,256,done,93.119.168.156
100,2,1,0.0004,32,done,85.234.79.208
100,2,2,0.0004,64,done,93.119.168.114
100,2,3,0.0004,128,done,85.234.79.236
100,2,4,0.0004,256,done,85.234.79.161
100,2,5,0.0008,32,done,85.234.79.118
100,2,6,0.0008,64,done,85.234.79.173
100,2,7,0.0008,128,done,85.234.79.83
100,2,8,0.0008,256,done,85.234.79.162
100,2,9,0.0016,32,done,93.119.168.27
100,2,10,0.0016,64,done,85.234.79.38
100,2,11,0.0016,128,done,93.119.168.44
100,2,12,0.0016,256,done,93.119.168.169
100,3,1,0.0004,32,done,93.119.168.156
100,3,2,0.0004,64,done,85.234.79.161
100,3,3,0.0004,128,done,85.234.79.236
100,3,4,0.0004,256,done,93.119.168.114
100,3,5,0.0008,32,done,85.234.79.208
100,3,6,0.0008,64,done,85.234.79.173
100,3,7,0.0008,128,done,85.234.79.162
100,3,8,0.0008,256,done,85.234.79.83
100,3,9,0.0016,32,done,85.234.79.118
100,3,10,0.0016,64,done,93.119.168.169
100,3,11,0.0016,128,done,93.119.168.44
100,3,12,0.0016,256,done,85.234.79.38
200,1,1,0.0002,64,done,85.234.79.236
200,1,2,0.0002,128,done,85.234.79.173
200,1,3,0.0002,256,done,85.234.79.161
200,1,4,0.0002,512,done,85.234.79.118
200,1,5,0.0004,64,done,85.234.79.38
200,1,6,0.0004,128,done,85.234.79.83
200,1,7,0.0004,256,done,93.119.168.114
200,1,8,0.0004,512,done,93.119.168.27
200,1,9,0.0008,64,done,93.119.168.44
200,1,10,0.0008,128,done,93.119.168.169
200,1,11,0.0008,256,done,93.119.168.156
200,1,12,0.0008,512,done,85.234.79.208
200,1,13,0.0016,64,done,85.234.79.162
200,1,14,0.0016,128,done,85.234.79.161
200,1,15,0.0016,256,done,85.234.79.173
200,1,16,0.0016,512,done,85.234.79.118
200,2,1,0.0002,64,done,85.234.79.236
200,2,2,0.0002,128,done,85.234.79.83
200,2,3,0.0002,256,done,85.234.79.38
200,2,4,0.0002,512,done,93.119.168.114
200,2,5,0.0004,64,done,93.119.168.27
200,2,6,0.0004,128,done,93.119.168.169
200,2,7,0.0004,256,done,93.119.168.156
200,2,8,0.0004,512,done,93.119.168.44
200,2,9,0.0008,64,done,85.234.79.208
200,2,10,0.0008,128,done,85.234.79.173
200,2,11,0.0008,256,done,85.234.79.162
200,2,12,0.0008,512,done,93.119.168.114
200,2,13,0.0016,64,done,85.234.79.118
200,2,14,0.0016,128,done,85.234.79.161
200,2,15,0.0016,256,done,93.119.168.27
200,2,16,0.0016,512,done,93.119.168.114
200,3,1,0.0002,64,done,93.119.168.27
200,3,2,0.0002,128,done,85.234.79.162
200,3,3,0.0002,256,done,85.234.79.208
200,3,4,0.0002,512,done,85.234.79.83
200,3,5,0.0004,64,done,85.234.79.38
200,3,6,0.0004,128,done,93.119.168.114
200,3,7,0.0004,256,done,85.234.79.236
200,3,8,0.0004,512,done,93.119.168.27
200,3,9,0.0008,64,done,93.119.168.156
200,3,10,0.0008,128,done,93.119.168.169
200,3,11,0.0008,256,done,93.119.168.44
200,3,12,0.0008,512,done,85.234.79.208
200,3,13,0.0016,64,done,85.234.79.162
200,3,14,0.0016,128,done,85.234.79.173
200,3,15,0.0016,256,done,85.234.79.161
200,3,16,0.0016,512,done,85.234.79.83
400,1,1,0.0002,256,done,85.234.79.118
400,1,2,0.0002,512,done,85.234.79.236
400,1,3,0.0002,1024,done,85.234.79.208
400,1,4,0.0004,256,done,85.234.79.173
400,1,5,0.0004,512,done,85.234.79.162
400,1,6,0.0004,1024,done,85.234.79.161
400,1,7,0.0008,256,done,85.234.79.38
400,1,8,0.0008,512,done,85.234.79.83
400,1,9,0.0008,1024,done,85.234.79.208
400,2,1,0.0002,256,done,85.234.79.161
400,2,2,0.0002,512,done,85.234.79.236
400,2,3,0.0002,1024,done,85.234.79.162
400,2,4,0.0004,256,done,85.234.79.83
400,2,5,0.0004,512,done,85.234.79.118
400,2,6,0.0004,1024,done,85.234.79.173
400,2,7,0.0008,256,done,85.234.79.38
400,2,8,0.0008,512,done,85.234.79.208
400,2,9,0.0008,1024,done,85.234.79.162
400,3,1,0.0002,256,done,85.234.79.236
400,3,2,0.0002,512,done,85.234.79.161
400,3,3,0.0002,1024,done,85.234.79.173
400,3,4,0.0004,256,done,85.234.79.83
400,3,5,0.0004,512,done,85.234.79.118
400,3,6,0.0004,1024,done,85.234.79.38
400,3,7,0.0008,256,done,93.119.168.156
400,3,8,0.0008,512,done,93.119.168.169
400,3,9,0.0008,1024,done,93.119.168.44
400,1,10,0.0002,128,done,85.234.79.118
400,1,11,0.0004,128,done,85.234.79.236
400,1,12,0.0008,128,done,85.234.79.208
400,2,10,0.0002,128,done,85.234.79.173
400,2,11,0.0004,128,done,85.234.79.162
400,2,12,0.0008,128,done,85.234.79.161
400,3,10,0.0002,128,done,85.234.79.38
400,3,11,0.0004,128,done,85.234.79.83
400,3,12,0.0008,128,done,93.119.168.156
