ablated_module,data_label,is_own_topic,all_on_loss,ablated_loss,signed_loss_change,absolute_loss_change,mean_absolute_retained_change
a-deadline-or-time-limit,core,False,1.650659441947937,1.647334337234497,-0.0033251047134399414,0.0033251047134399414,0.0022100508213043213
a-deadline-or-time-limit,a-deadline-or-time-limit,True,1.7240792512893677,1.838192105293274,0.11411285400390625,0.11411285400390625,0.0022100508213043213
a-deadline-or-time-limit,alien-encounters,False,1.6117552518844604,1.6099382638931274,-0.0018169879913330078,0.0018169879913330078,0.0022100508213043213
a-deadline-or-time-limit,bygone-eras,False,1.6712009906768799,1.6686519384384155,-0.0025490522384643555,0.0025490522384643555,0.0022100508213043213
a-deadline-or-time-limit,cultural-traditions,False,1.7047994136810303,1.7036503553390503,-0.0011490583419799805,0.0011490583419799805,0.0022100508213043213
alien-encounters,core,False,1.650659441947937,1.6483248472213745,-0.0023345947265625,0.0023345947265625,0.0018020868301391602
alien-encounters,a-deadline-or-time-limit,False,1.7240792512893677,1.722935438156128,-0.001143813133239746,0.001143813133239746,0.0018020868301391602
alien-encounters,alien-encounters,True,1.6117552518844604,1.7021881341934204,0.09043288230895996,0.09043288230895996,0.0018020868301391602
alien-encounters,bygone-eras,False,1.6712009906768799,1.6690131425857544,-0.0021878480911254883,0.0021878480911254883,0.0018020868301391602
alien-encounters,cultural-traditions,False,1.7047994136810303,1.7032573223114014,-0.0015420913696289062,0.0015420913696289062,0.0018020868301391602
bygone-eras,core,False,1.650659441947937,1.6486620903015137,-0.00199735164642334,0.00199735164642334,0.0012052059173583984
bygone-eras,a-deadline-or-time-limit,False,1.7240792512893677,1.7237907648086548,-0.0002884864807128906,0.0002884864807128906,0.0012052059173583984
bygone-eras,alien-encounters,False,1.6117552518844604,1.6103278398513794,-0.0014274120330810547,0.0014274120330810547,0.0012052059173583984
bygone-eras,bygone-eras,True,1.6712009906768799,1.6754800081253052,0.004279017448425293,0.004279017448425293,0.0012052059173583984
bygone-eras,cultural-traditions,False,1.7047994136810303,1.7059069871902466,0.0011075735092163086,0.0011075735092163086,0.0012052059173583984
cultural-traditions,core,False,1.650659441947937,1.6481013298034668,-0.002558112144470215,0.002558112144470215,0.0011168718338012695
cultural-traditions,a-deadline-or-time-limit,False,1.7240792512893677,1.7238987684249878,-0.0001804828643798828,0.0001804828643798828,0.0011168718338012695
cultural-traditions,alien-encounters,False,1.6117552518844604,1.610348105430603,-0.0014071464538574219,0.0014071464538574219,0.0011168718338012695
cultural-traditions,bygone-eras,False,1.6712009906768799,1.6708792448043823,-0.0003217458724975586,0.0003217458724975586,0.0011168718338012695
cultural-traditions,cultural-traditions,True,1.7047994136810303,1.7242282629013062,0.01942884922027588,0.01942884922027588,0.0011168718338012695
